小韻號,母,呼,等,重紐,韻,聲,反切
614,昌,合,三,,仙,平,昌緣
615,以,合,三,A,仙,平,與專
616,邪,合,三,,仙,平,似宣
617,影,合,三,A,仙,平,於緣
618,船,合,三,,仙,平,食川
619,幫,,三,A,仙,平,卑連
620,邪,開,三,,仙,平,夕連
621,清,合,三,,仙,平,此緣
622,章,合,三,,仙,平,職緣
623,常,合,三,,仙,平,市緣
624,云,合,三,B,仙,平,王權
625,莊,合,三,,仙,平,莊緣
626,生,合,三,,仙,平,山員
627,徹,合,三,,仙,平,丑緣
628,羣,開,三,B,仙,平,渠焉
629,溪,開,三,B,仙,平,去乾
630,羣,合,三,B,仙,平,巨員
631,澄,合,三,,仙,平,直攣
632,來,合,三,,仙,平,呂員
633,溪,合,三,B,仙,平,丘圓
634,影,開,三,B,仙,平,於乾
635,云,開,三,B,仙,平,有乾
636,影,合,三,B,仙,平,於權
637,昌,開,三,,仙,平,尺延
638,知,合,三,,仙,平,丁全
639,見,合,三,B,仙,平,居員
640,心,開,四,,蕭,平,蘇彫
641,透,開,四,,蕭,平,吐彫
642,端,開,四,,蕭,平,都聊
643,定,開,四,,蕭,平,徒聊
644,見,開,四,,蕭,平,古堯
645,來,開,四,,蕭,平,落蕭
646,疑,開,四,,蕭,平,五聊
647,曉,開,四,,蕭,平,許幺
648,影,開,四,,蕭,平,於堯
649,溪,開,四,,蕭,平,苦幺
650,心,開,三,,宵,平,相邀
651,徹,開,三,,宵,平,敕宵
652,知,開,三,,宵,平,陟遙
653,澄,開,三,,宵,平,直遙
654,曉,開,三,B,宵,平,許嬌
655,從,開,三,,宵,平,昨焦
656,見,開,三,B,宵,平,舉喬
657,精,開,三,,宵,平,即消
658,日,開,三,,宵,平,如招
659,書,開,三,,宵,平,式招
660,以,開,三,A,宵,平,餘昭
661,常,開,三,,宵,平,市昭
662,章,開,三,,宵,平,止遙
663,幫,,三,A,宵,平,甫遙
664,幫,,三,B,宵,平,甫嬌
665,並,,三,A,宵,平,符霄
666,明,,三,A,宵,平,彌遙
667,明,,三,B,宵,平,武瀌
668,影,開,三,A,宵,平,於霄
669,云,開,三,B,宵,平,于嬌
670,羣,開,三,B,宵,平,巨嬌
671,清,開,三,,宵,平,七遙
672,影,開,三,B,宵,平,於喬
673,溪,開,三,A,宵,平,去遙
674,昌,開,三,,宵,平,尺招
675,滂,,三,A,宵,平,撫招
676,羣,開,三,A,宵,平,渠遙
677,來,開,三,,宵,平,力昭
678,溪,開,三,B,宵,平,起囂
679,匣,開,二,,肴,平,胡茅
680,見,開,二,,肴,平,古肴
681,崇,開,二,,肴,平,鉏交
682,孃,開,二,,肴,平,女交
683,生,開,二,,肴,平,所交
684,明,,二,,肴,平,莫交
685,曉,開,二,,肴,平,許交
686,幫,,二,,肴,平,布交
687,滂,,二,,肴,平,匹交
688,溪,開,二,,肴,平,口交
689,疑,開,二,,肴,平,五交
690,莊,開,二,,肴,平,側交
691,知,開,二,,肴,平,陟交
692,初,開,二,,肴,平,楚交
693,並,,二,,肴,平,薄交
694,影,開,二,,肴,平,於交
695,徹,開,二,,肴,平,敕交
696,來,開,二,,肴,平,力嘲
697,澄,開,二,,肴,平,直交
698,匣,開,一,,豪,平,胡刀
699,見,開,一,,豪,平,古勞
700,來,開,一,,豪,平,魯刀
701,曉,開,一,,豪,平,呼毛
702,明,,一,,豪,平,莫袍
703,透,開,一,,豪,平,土刀
704,端,開,一,,豪,平,都牢
705,心,開,一,,豪,平,蘇遭
706,並,,一,,豪,平,薄襃
707,幫,,一,,豪,平,博毛
708,定,開,一,,豪,平,徒刀
709,精,開,一,,豪,平,作曹
710,疑,開,一,,豪,平,五勞
711,從,開,一,,豪,平,昨勞
712,影,開,一,,豪,平,於刀
713,泥,開,一,,豪,平,奴刀
714,溪,開,一,,豪,平,苦刀
715,清,開,一,,豪,平,七刀
716,滂,,一,,豪,平,普袍
717,見,開,一,,歌,平,古俄
718,清,開,一,,歌,平,七何
719,端,開,一,,歌,平,得何
720,心,開,一,,歌,平,素何
721,定,開,一,,歌,平,徒河
