小韻號	首字	反切	編碼	切韻拼音	unt切韻擬音J	unt切韻擬音L	unt切韻通俗擬音	潘悟雲擬音	描述	聲母	開合	等和重紐	韻母	聲調	合法性	備註
3158	𦲯	亡劒	D9C	muomh	mʋə̀m	mə̀m	mʉə̀m	mɨam˥˩	明三嚴→凡去	明		三	嚴→凡	去	強合法	
3159	陷	戶韽	j6C	gheemh	ʁèˤm	ʁèˤm	ɣɛ̀m	ɦɣɛm˥˩	匣開二咸去	匣	開	二	咸	去	強合法	
3160	韽	於陷	h6C	qeemh	ʔèˤm	ʡèˤm	ʔɛ̀m	ʔɣɛm˥˩	影開二咸去	影	開	二	咸	去	強合法	
3161	蘸	莊陷	S6C	tsreemh	tʂèˤm	tʂèˤm	tʂɛ̀m	tʂɣɛm˥˩	莊開二咸去	莊	開	二	咸	去	強合法	
3162	𪉜	陟陷	J6C	treemh	ʈèˤm	ʈèˤm	ʈɛ̀m	ʈɣɛm˥˩	知開二咸去	知	開	二	咸	去	強合法	
3163	歉	口陷	e6C	kheemh	qʰèˤm	qʰèˤm	kʰɛ̀m	kʰɣɛm˥˩	溪開二咸去	溪	開	二	咸	去	強合法	
3164	𧸖	佇陷	L6C	dreemh	ɖèˤm	ɖèˤm	ɖɛ̀m	ɖɣɛm˥˩	澄開二咸去	澄	開	二	咸	去	強合法	
3165	儳	仕陷	U6C	dzreemh	dʐèˤm	dʐèˤm	dʐɛ̀m	dʐɣɛm˥˩	崇開二咸去	崇	開	二	咸	去	強合法	
3166	𪉦	公陷	d6C	keemh	qèˤm	qèˤm	kɛ̀m	kɣɛm˥˩	見開二咸去	見	開	二	咸	去	強合法	
3167	諵	尼𧸖	M6C	nreemh	ɳèˤm	ɳèˤm	ɳɛ̀m	ɳɣɛm˥˩	孃開二咸去	孃	開	二	咸	去	強合法	
3168	顑	玉陷	g6C	ngeemh	ɴèˤm	ɴèˤm	ŋɛ̀m	ŋɣɛm˥˩	疑開二咸去	疑	開	二	咸	去	強合法	
3169	鑑	格懺	d7C	kaemh	qàˤm	qàˤm	kæ̀m	kɣæm˥˩	見開二銜去	見	開	二	銜	去	強合法	
3170	懺	楚鑒	T7C	tsrhaemh	tʂʰàˤm	tʂʰàˤm	tʂʰæ̀m	tʂʰɣæm˥˩	初開二銜去	初	開	二	銜	去	強合法	
3171	覱	子鑑	S7C	tsraemh	tʂàˤm	tʂàˤm	tʂæ̀m	tʂɣæm˥˩	莊開二銜去	莊	開	二	銜	去	強合法	
3172	釤	所鑑	V7C	sraemh	ʂàˤm	ʂàˤm	ʂæ̀m	ʂɣæm˥˩	生開二銜去	生	開	二	銜	去	強合法	
3173	㒈	許鑑	i7C	haemh	χàˤm	χàˤm	xæ̀m	hɣæm˥˩	曉開二銜去	曉	開	二	銜	去	強合法	
3174	埿	蒲鑑	C7C	baemh	bàˤm	ᵬàˤm	bæ̀m	bɣæm˥˩	並二銜去	並		二	銜	去	稀有合法	
3175	㽉	胡懺	j7C	ghaemh	ʁàˤm	ʁàˤm	ɣæ̀m	ɦɣæm˥˩	匣開二銜去	匣	開	二	銜	去	強合法	
3176	鑱	士懺	U7C	dzraemh	dʐàˤm	dʐàˤm	dʐæ̀m	dʐɣæm˥˩	崇開二銜去	崇	開	二	銜	去	強合法	
3177	𪒠	無	h7C	qaemh	ʔàˤm	ʡàˤm	ʔæ̀m	ʔɣæm˥˩	影開二銜去	影	開	二	銜	去	強合法	音黯去聲
3178	梵	扶泛	C9C	buomh	bʋə̀m	bə̀m	bʉə̀m	bɨam˥˩	並三凡去	並		三	凡	去	強合法	
3179	汎	孚梵	B9C	phuomh	pʰʋə̀m	pʰə̀m	pʰʉə̀m	pʰɨam˥˩	滂三凡去	滂		三	凡	去	強合法	
3180	劒	居欠	d8C	kyomh	kɣə̀m	kə̀m	kɨə̀m	kɨam˥˩	見開三凡→嚴去	見	開	三	凡→嚴	去	強合法	
3181	欠	去劒	e8C	khyomh	kʰɣə̀m	kʰə̀m	kʰɨə̀m	kʰɨam˥˩	溪開三凡→嚴去	溪	開	三	凡→嚴	去	強合法	
3182	俺	於劒	h8C	qyomh	ʔɣə̀m	ʔə̀m	ʔɨə̀m	ʔɨam˥˩	影開三凡→嚴去	影	開	三	凡→嚴	去	強合法	
3183	屋	烏谷	hAD	qouk	ʔuq	ʡuq	ʔuk	ʔuk꜊	影一東入	影		一	東	入	強合法	
3184	獨	徒谷	GAD	douk	duq	duq	duk	duk꜊	定一東入	定		一	東	入	強合法	
3185	穀	古祿	dAD	kouk	quq	quq	kuk	kuk꜊	見一東入	見		一	東	入	強合法	
3186	縠	胡谷	jAD	ghouk	ʁuq	ʁuq	ɣuk	ɦuk꜊	匣一東入	匣		一	東	入	強合法	
3187	哭	空谷	eAD	khouk	qʰuq	qʰuq	kʰuk	kʰuk꜊	溪一東入	溪		一	東	入	強合法	
3188	禿	他谷	FAD	thouk	tʰuq	tʰuq	tʰuk	tʰuk꜊	透一東入	透		一	東	入	強合法	
3189	豰	丁木	EAD	touk	tuq	tuq	tuk	tuk꜊	端一東入	端		一	東	入	強合法	
3190	速	桑谷	QAD	souk	suq	suq	suk	suk꜊	心一東入	心		一	東	入	強合法	
3191	祿	盧谷	IAD	louk	ɫuq	ɫuq	luk	luk꜊	來一東入	來		一	東	入	強合法	
3192	嗀	呼木	iAD	houk	χuq	χuq	xuk	huk꜊	曉一東入	曉		一	東	入	強合法	
3193	族	昨木	PAD	dzouk	dzuq	dzuq	dzuk	dzuk꜊	從一東入	從		一	東	入	強合法	
3194	瘯	千木	OAD	tshouk	tsʰuq	tsʰuq	tsʰuk	tsʰuk꜊	清一東入	清		一	東	入	強合法	
3195	鏃	作木	NAD	tsouk	tsuq	tsuq	tsuk	tsuk꜊	精一東入	精		一	東	入	強合法	
3196	暴	蒲木	CAD	bouk	buq	ᵬuq	buk	buk꜊	並一東入	並		一	東	入	強合法	
3197	扑	普木	BAD	phouk	pʰuq	ᵱʰuq	pʰuk	pʰuk꜊	滂一東入	滂		一	東	入	強合法	
3198	卜	博木	AAD	pouk	puq	ᵱuq	puk	puk꜊	幫一東入	幫		一	東	入	強合法	
3199	木	莫卜	DAD	mouk	muq	ᵯuq	muk	muk꜊	明一東入	明		一	東	入	強合法	
3200	福	方六	ABD	puk	pʋuq	puq	pɨuk	pɨuk꜊	幫三東入	幫		三	東	入	強合法	
3201	伏	房六	CBD	buk	bʋuq	buq	bɨuk	bɨuk꜊	並三東入	並		三	東	入	強合法	
3202	縮	所六	VBD	sruk	ʂuq	ʂuq	ʂɨuk	ʂɨuk꜊	生三東入	生		三	東	入	強合法	
3203	六	力竹	IBD	luk	luq	luq	lɨuk	lɨuk꜊	來三東入	來		三	東	入	強合法	
3204	逐	直六	LBD	druk	ɖuq	ɖuq	ɖɨuk	ɖɨuk꜊	澄三東入	澄		三	東	入	強合法	
3205	菊	居六	dBD	kuk	kɣuq	kuq	kɨuk	kɨuk꜊	見三東入	見		三	東	入	強合法	
3206	麴	驅匊	eBD	khuk	kʰɣuq	kʰuq	kʰɨuk	kʰɨuk꜊	溪三東入	溪		三	東	入	強合法	
3207	熟	殊六	ZBD	djuk	dʑuq	dʑuq	dʑɨuk	dʑɨuk꜊	常三東入	常		三	東	入	強合法	
3208	俶	昌六	YBD	tjhuk	tɕʰuq	tɕʰuq	tɕʰɨuk	tɕʰɨuk꜊	昌三東入	昌		三	東	入	強合法	
3209	育	余六	lBD	juk	juq	juq	jɨuk	jɨuk꜊	以三東入	以		三	東	入	強合法	
3210	驧	渠竹	fBD	guk	ɡɣuq	ɡuq	ɡɨuk	ɡɨuk꜊	羣三東入	羣		三	東	入	強合法	
3211	鼀	七宿	OBD	tshuk	tsʰjuq	tsʰjuq	tsʰɨuk	tsʰɨuk꜊	清三東入	清		三	東	入	強合法	
3212	肉	如六	cBD	njuk	ɲuq	ɲuq	ɲɨuk	ȵɨuk꜊	日三東入	日		三	東	入	強合法	
3213	粥	之六	XBD	tjuk	tɕuq	tɕuq	tɕɨuk	tɕɨuk꜊	章三東入	章		三	東	入	強合法	
3214	叔	式竹	aBD	sjuk	ɕuq	ɕuq	ɕɨuk	ɕɨuk꜊	書三東入	書		三	東	入	強合法	
3215	蓄	許竹	iBD	huk	xɣuq	xuq	xɨuk	hɨuk꜊	曉三東入	曉		三	東	入	強合法	
3216	竹	張六	JBD	truk	ʈuq	ʈuq	ʈɨuk	ʈɨuk꜊	知三東入	知		三	東	入	強合法	
3217	蹙	子六	NBD	tsuk	tsjuq	tsjuq	tsɨuk	tsɨuk꜊	精三東入	精		三	東	入	強合法	
3218	珿	初六	TBD	tsrhuk	tʂʰuq	tʂʰuq	tʂʰɨuk	tʂʰɨuk꜊	初三東入	初		三	東	入	強合法	
3219	朒	女六	MBD	nruk	ɳuq	ɳuq	ɳɨuk	ɳɨuk꜊	孃三東入	孃		三	東	入	強合法	
3220	縬	側六	SBD	tsruk	tʂuq	tʂuq	tʂɨuk	tʂɨuk꜊	莊三東入	莊		三	東	入	強合法	
3221	蝮	芳福	BBD	phuk	pʰʋuq	pʰuq	pʰɨuk	pʰɨuk꜊	滂三東入	滂		三	東	入	強合法	
3222	郁	於六	hBD	quk	ʔɣuq	ʔuq	ʔɨuk	ʔɨuk꜊	影三東入	影		三	東	入	強合法	
3223	肅	息逐	QBD	suk	sjuq	sjuq	sɨuk	sɨuk꜊	心三東入	心		三	東	入	強合法	
3224	目	莫六	DBD	muk	mʋuq	muq	mɨuk	mɨuk꜊	明三東入	明		三	東	入	強合法	
3225	囿	于六	kBD	uk	wuq	wuq	ɨuk	ɦɨuk꜊	云三東入	云		三	東	入	強合法	
3226	蓄	丑六	KBD	trhuk	ʈʰuq	ʈʰuq	ʈʰɨuk	ʈʰɨuk꜊	徹三東入	徹		三	東	入	強合法	
3227	砡	魚菊	gBD	nguk	ŋɣuq	ŋuq	ŋɨuk	ŋɨuk꜊	疑三東入	疑		三	東	入	強合法	
3228	𣤶	才六	PBD	dzuk	dzjuq	dzjuq	dzɨuk	dzɨuk꜊	從三東入	從		三	東	入	強合法	
3229	沃	烏酷	hCD	qok	ʔoq	ʡoq	ʔok	ʔu̯ok꜊	影一冬入	影		一	冬	入	強合法	
3230	毒	徒沃	GCD	dok	doq	doq	dok	du̯ok꜊	定一冬入	定		一	冬	入	強合法	
3231	篤	冬毒	ECD	tok	toq	toq	tok	tu̯ok꜊	端一冬入	端		一	冬	入	強合法	
3232	酷	苦沃	eCD	khok	qʰoq	qʰoq	kʰok	kʰu̯ok꜊	溪一冬入	溪		一	冬	入	強合法	
3233	鵠	胡沃	jCD	ghok	ʁoq	ʁoq	ɣok	ɦu̯ok꜊	匣一冬入	匣		一	冬	入	強合法	
3234	僕	蒲沃	CCD	bok	boq	ᵬoq	bok	bu̯ok꜊	並一冬入	並		一	冬	入	強合法	
3235	洬	先篤	QCD	sok	soq	soq	sok	su̯ok꜊	心一冬入	心		一	冬	入	強合法	
3236	梏	古沃	dCD	kok	qoq	qoq	kok	ku̯ok꜊	見一冬入	見		一	冬	入	強合法	
3237	瑁	莫沃	DCD	mok	moq	ᵯoq	mok	mu̯ok꜊	明一冬入	明		一	冬	入	強合法	
3238	熇	火酷	iCD	hok	χoq	χoq	xok	hu̯ok꜊	曉一冬入	曉		一	冬	入	強合法	
3239	褥	內沃	HCD	nok	noq	noq	nok	nu̯ok꜊	泥一冬入	泥		一	冬	入	強合法	
3240	傶	將毒	NCD	tsok	tsoq	tsoq	tsok	tsu̯ok꜊	精一冬入	精		一	冬	入	強合法	
3241	襮	博沃	ACD	pok	poq	ᵱoq	pok	pu̯ok꜊	幫一冬入	幫		一	冬	入	強合法	
3242	濼	盧毒	ICD	lok	ɫoq	ɫoq	lok	lu̯ok꜊	來一冬入	來		一	冬	入	強合法	
3243	𤛹	五沃	gCD	ngok	ɴoq	ɴoq	ŋok	ŋu̯ok꜊	疑一冬入	疑		一	冬	入	強合法	
3244	燭	之欲	XDD	tjuok	tɕoq	tɕoq	tɕʉok	tɕɨu̯o̝k꜊	章三鍾入	章		三	鍾	入	強合法	
3245	玉	魚欲	gDD	nguok	ŋɣoq	ŋoq	ŋʉok	ŋɨu̯o̝k꜊	疑三鍾入	疑		三	鍾	入	強合法	
3246	旭	許玉	iDD	huok	xɣoq	xoq	xʉok	hɨu̯o̝k꜊	曉三鍾入	曉		三	鍾	入	強合法	
3247	輂	居玉	dDD	kuok	kɣoq	koq	kʉok	kɨu̯o̝k꜊	見三鍾入	見		三	鍾	入	強合法	
3248	局	渠玉	fDD	guok	ɡɣoq	ɡoq	ɡʉok	ɡɨu̯o̝k꜊	羣三鍾入	羣		三	鍾	入	強合法	
3249	蜀	市玉	ZDD	djuok	dʑoq	dʑoq	dʑʉok	dʑɨu̯o̝k꜊	常三鍾入	常		三	鍾	入	強合法	
3250	觸	尺玉	YDD	tjhuok	tɕʰoq	tɕʰoq	tɕʰʉok	tɕʰɨu̯o̝k꜊	昌三鍾入	昌		三	鍾	入	強合法	
3251	辱	而蜀	cDD	njuok	ɲoq	ɲoq	ɲʉok	ȵɨu̯o̝k꜊	日三鍾入	日		三	鍾	入	強合法	
3252	束	書玉	aDD	sjuok	ɕoq	ɕoq	ɕʉok	ɕɨu̯o̝k꜊	書三鍾入	書		三	鍾	入	強合法	
3253	欲	余蜀	lDD	juok	joq	joq	jʉok	jɨu̯o̝k꜊	以三鍾入	以		三	鍾	入	強合法	
3254	躅	直錄	LDD	druok	ɖoq	ɖoq	ɖʉok	ɖɨu̯o̝k꜊	澄三鍾入	澄		三	鍾	入	強合法	
3255	錄	力玉	IDD	luok	loq	loq	lʉok	lɨu̯o̝k꜊	來三鍾入	來		三	鍾	入	強合法	
3256	曲	丘玉	eDD	khuok	kʰɣoq	kʰoq	kʰʉok	kʰɨu̯o̝k꜊	溪三鍾入	溪		三	鍾	入	強合法	
3257	瘃	陟玉	JDD	truok	ʈoq	ʈoq	ʈʉok	ʈɨu̯o̝k꜊	知三鍾入	知		三	鍾	入	強合法	
3258	足	即玉	NDD	tsuok	tsjoq	tsjoq	tsʉok	tsɨu̯o̝k꜊	精三鍾入	精		三	鍾	入	強合法	
3259	贖	神蜀	bDD	zjuok	ʑoq	ʑoq	ʑʉok	ʑɨu̯o̝k꜊	船三鍾入	船		三	鍾	入	強合法	
3260	幞	房玉	CDD	buok	bʋoq	boq	bʉok	bɨu̯o̝k꜊	並三鍾入	並		三	鍾	入	強合法	
3261	促	七玉	ODD	tshuok	tsʰjoq	tsʰjoq	tsʰʉok	tsʰɨu̯o̝k꜊	清三鍾入	清		三	鍾	入	強合法	
3262	續	似足	RDD	zuok	zjoq	zjoq	zʉok	zɨu̯o̝k꜊	邪三鍾入	邪		三	鍾	入	強合法	
3263	粟	相玉	QDD	suok	sjoq	sjoq	sʉok	sɨu̯o̝k꜊	心三鍾入	心		三	鍾	入	強合法	
3264	䪁	封曲	ADD	puok	pʋoq	poq	pʉok	pɨu̯o̝k꜊	幫三鍾入	幫		三	鍾	入	強合法	
3265	梀	丑玉	KDD	trhuok	ʈʰoq	ʈʰoq	ʈʰʉok	ʈʰɨu̯o̝k꜊	徹三鍾入	徹		三	鍾	入	強合法	
3266	覺	古岳	dED	koeuk	qoˤq	qoˤq	kɔk	kɣɔk꜊	見二江入	見		二	江	入	強合法	
3267	嶽	五角	gED	ngoeuk	ɴoˤq	ɴoˤq	ŋɔk	ŋɣɔk꜊	疑二江入	疑		二	江	入	強合法	
3268	浞	士角	UED	dzroeuk	dʐoˤq	dʐoˤq	dʐɔk	dʐɣɔk꜊	崇二江入	崇		二	江	入	強合法	
3269	捉	側角	SED	tsroeuk	tʂoˤq	tʂoˤq	tʂɔk	tʂɣɔk꜊	莊二江入	莊		二	江	入	強合法	
3270	朔	所角	VED	sroeuk	ʂoˤq	ʂoˤq	ʂɔk	ʂɣɔk꜊	生二江入	生		二	江	入	強合法	
3271	斲	竹角	JED	troeuk	ʈoˤq	ʈoˤq	ʈɔk	ʈɣɔk꜊	知二江入	知		二	江	入	強合法	
3272	剝	北角	AED	poeuk	poˤq	ᵱoˤq	pɔk	pɣɔk꜊	幫二江入	幫		二	江	入	強合法	
3273	邈	莫角	DED	moeuk	moˤq	ᵯoˤq	mɔk	mɣɔk꜊	明二江入	明		二	江	入	強合法	
3274	雹	蒲角	CED	boeuk	boˤq	ᵬoˤq	bɔk	bɣɔk꜊	並二江入	並		二	江	入	強合法	
3275	璞	匹角	BED	phoeuk	pʰoˤq	ᵱʰoˤq	pʰɔk	pʰɣɔk꜊	滂二江入	滂		二	江	入	強合法	
3276	㱿	苦角	eED	khoeuk	qʰoˤq	qʰoˤq	kʰɔk	kʰɣɔk꜊	溪二江入	溪		二	江	入	強合法	
3277	濁	直角	LED	droeuk	ɖoˤq	ɖoˤq	ɖɔk	ɖɣɔk꜊	澄二江入	澄		二	江	入	強合法	
3278	渥	於角	hED	qoeuk	ʔoˤq	ʡoˤq	ʔɔk	ʔɣɔk꜊	影二江入	影		二	江	入	強合法	
3279	搦	女角	MED	nroeuk	ɳoˤq	ɳoˤq	ɳɔk	ɳɣɔk꜊	孃二江入	孃		二	江	入	強合法	
3280	逴	敕角	KED	trhoeuk	ʈʰoˤq	ʈʰoˤq	ʈʰɔk	ʈʰɣɔk꜊	徹二江入	徹		二	江	入	強合法	
3281	犖	呂角	IED	loeuk	ɫoˤq	ɫoˤq	lɔk	lɣɔk꜊	來二江入	來		二	江	入	弱非法	
3282	學	胡覺	jED	ghoeuk	ʁoˤq	ʁoˤq	ɣɔk	ɦɣɔk꜊	匣二江入	匣		二	江	入	強合法	
3283	㕰	許角	iED	hoeuk	χoˤq	χoˤq	xɔk	hɣɔk꜊	曉二江入	曉		二	江	入	強合法	
3284	娖	測角	TED	tsrhoeuk	tʂʰoˤq	tʂʰoˤq	tʂʰɔk	tʂʰɣɔk꜊	初二江入	初		二	江	入	強合法	
3285	質	之日	XVD	tjit	tɕit	tɕit	tɕit	tɕit꜊	章開三真入	章	開	三	真	入	強合法	
3286	日	人質	cVD	njit	ɲit	ɲit	ɲit	ȵit꜊	日開三真入	日	開	三	真	入	強合法	
3287	實	神質	bVD	zjit	ʑit	ʑit	ʑit	ʑit꜊	船開三真入	船	開	三	真	入	強合法	
3288	秩	直一	LVD	drit	ɖit	ɖit	ɖit	ɖit꜊	澄開三真入	澄	開	三	真	入	強合法	
3289	悉	息七	QVD	sit	sit	sit	sit	sit꜊	心開三真入	心	開	三	真	入	強合法	
3290	一	於悉	hVD	qit	ʔit	ʔit	ʔit	ʔit꜊	影開三A真入	影	開	三A	真	入	強合法	
3291	七	親吉	OVD	tshit	tsʰit	tsʰit	tsʰit	tsʰit꜊	清開三真入	清	開	三	真	入	強合法	
3292	匹	譬吉	BVD	phit	pʰit	pʰit	pʰit	pʰit꜊	滂三A真入	滂		三A	真	入	強合法	
3293	吉	居質	dVD	kit	kit	kit	kit	kit꜊	見開三A真入	見	開	三A	真	入	強合法	
3294	暱	尼質	MVD	nrit	ɳit	ɳit	ɳit	ɳit꜊	孃開三真入	孃	開	三	真	入	強合法	
3295	逸	夷質	lVD	jit	jit	jit	jit	jit꜊	以開三真入	以	開	三	真	入	強合法	
3296	詰	去吉	eVD	khit	kʰit	kʰit	kʰit	kʰit꜊	溪開三A真入	溪	開	三A	真	入	強合法	
3297	欯	許吉	iVD	hit	xit	xit	xit	hit꜊	曉開三A真入	曉	開	三A	真	入	強合法	
3298	抶	丑栗	KVD	trhit	ʈʰit	ʈʰit	ʈʰit	ʈʰit꜊	徹開三真入	徹	開	三	真	入	強合法	
3299	栗	力質	IVD	lit	lit	lit	lit	lit꜊	來開三真入	來	開	三	真	入	強合法	
3300	窒	陟栗	JVD	trit	ʈit	ʈit	ʈit	ʈit꜊	知開三真入	知	開	三	真	入	強合法	
3301	疾	秦悉	PVD	dzit	dzit	dzit	dzit	dzit꜊	從開三真入	從	開	三	真	入	強合法	
3302	㓼	初栗	TVD	tsrhyit	tʂʰit	tʂʰit	tʂʰɨit	tʂʰɪt꜊	初開三真入	初	開	三	真	入	強合法	
3303	失	式質	aVD	sjit	ɕit	ɕit	ɕit	ɕit꜊	書開三真入	書	開	三	真	入	強合法	
3304	堲	資悉	NVD	tsit	tsit	tsit	tsit	tsit꜊	精開三真入	精	開	三	真	入	強合法	
3305	蜜	彌畢	DVD	mit	mit	mit	mit	mit꜊	明三A真入	明		三A	真	入	強合法	
3306	必	卑吉	AVD	pit	pit	pit	pit	pit꜊	幫三A真入	幫		三A	真	入	強合法	
3307	姞	巨乙	fVH	gyit	ɡɹit	ɡɹit	ɡɨit	ɡɣit꜊	羣開三B真入	羣	開	三B	真	入	強合法	
3308	邲	毗必	CVD	bit	bit	bit	bit	bit꜊	並三A真入	並		三A	真	入	強合法	
3309	䫻	于筆	kVL	uit	wɹit	wɹit	ʉit	ɦʷit꜊	云合三B真入	云	合	三B	真	入	強合法	
3310	率	所律	VVL	sruit	ʂwit	ʂwit	ʂʉit	ʂʷit꜊	生合三真入	生	合	三	真	入	強合法	
3311	叱	昌栗	YVD	tjhit	tɕʰit	tɕʰit	tɕʰit	tɕʰit꜊	昌開三真入	昌	開	三	真	入	強合法	
3312	𪗨	仕叱	UVD	dzryit	dʐit	dʐit	dʐɨit	dʐɪt꜊	崇開三真入	崇	開	三	真	入	強合法	
3313	密	美筆	DVH	myit	mɹit	mɹit	mɨit	mɣit꜊	明三B真入	明		三B	真	入	強合法	
3314	弼	房密	CVH	byit	bɹit	bɹit	bɨit	bɣit꜊	並三B真入	並		三B	真	入	強合法	
3315	乙	於筆	hVH	qyit	ʔɹit	ʔɹit	ʔɨit	ʔɣit꜊	影開三B真入	影	開	三B	真	入	強合法	
3316	耴	魚乙	gVH	ngyit	ŋɹit	ŋɹit	ŋɨit	ŋɣit꜊	疑開三B真入	疑	開	三B	真	入	強合法	
3317	筆	鄙密	AVH	pyit	pɹit	pɹit	pɨit	pɣit꜊	幫三B真入	幫		三B	真	入	強合法	
3318	茁	徵筆	JVL	trwit	ʈwit	ʈwit	ʈyit	ʈʷit꜊	知合三真入	知	合	三	真	入	強合法	
3319	肸	羲乙	iVH	hyit	xɹit	xɹit	xɨit	hɣit꜊	曉開三B真入	曉	開	三B	真	入	強合法	
3320	暨	居乙	dVH	kyit	kɹit	kɹit	kɨit	kɣit꜊	見開三B真入	見	開	三B	真	入	強合法	
3321	蛭	丁悉	JVD	trit	ʈit	ʈit	ʈit	ʈit꜊	知開三真入	知	開	三	真	入	強合法	
3322	獝	況必	iVL	hwit	xwit	xwit	xyit	hʷit꜊	曉合三A真入	曉	合	三A	真	入	強合法	
3323	術	食聿	bVL	zjwit	ʑwit	ʑwit	ʑyit	ʑʷit꜊	船合三真入	船	合	三	真	入	強合法	
3324	橘	居聿	dVL	kwit	kwit	kwit	kyit	kʷit꜊	見合三A真入	見	合	三A	真	入	強合法	
3325	崒	慈卹	PVL	dzwit	dzwit	dzwit	dzyit	dzʷit꜊	從合三真入	從	合	三	真	入	強合法	
3326	聿	餘律	lVL	jwit	jwit	jwit	jyit	jʷit꜊	以合三真入	以	合	三	真	入	強合法	
3327	卒	子聿	NVL	tswit	tswit	tswit	tsyit	tsʷit꜊	精合三真入	精	合	三	真	入	強合法	
3328	卹	辛聿	QVL	swit	swit	swit	syit	sʷit꜊	心合三真入	心	合	三	真	入	強合法	
3329	律	呂卹	IVL	lwit	lwit	lwit	lyit	lʷit꜊	來合三真入	來	合	三	真	入	強合法	
3330	黜	丑律	KVL	trhwit	ʈʰwit	ʈʰwit	ʈʰyit	ʈʰʷit꜊	徹合三真入	徹	合	三	真	入	強合法	
3331	㤕	竹律	JVL	trwit	ʈwit	ʈwit	ʈyit	ʈʷit꜊	知合三真入	知	合	三	真	入	強合法	
3332	朮	直律	LVL	drwit	ɖwit	ɖwit	ɖyit	ɖʷit꜊	澄合三真入	澄	合	三	真	入	強合法	
3333	出	赤律	YVL	tjhwit	tɕʰwit	tɕʰwit	tɕʰyit	tɕʰʷit꜊	昌合三真入	昌	合	三	真	入	強合法	
3334	焌	倉聿	OVL	tshwit	tsʰwit	tsʰwit	tsʰyit	tsʰʷit꜊	清合三真入	清	合	三	真	入	強合法	
3335	𠭴	側律	SVL	tsruit	tʂwit	tʂwit	tʂʉit	tʂʷit꜊	莊合三真入	莊	合	三	真	入	稀有合法	
3336	䎀	許聿	iVL	hwit	xwit	xwit	xyit	hʷit꜊	曉合三A真入	曉	合	三A	真	入	強合法	
3337	櫛	阻瑟	SWD	tsryit	tʂit	tʂit	tʂɨit	tʂɪt꜊	莊開三臻入	莊	開	三	臻	入	強合法	
3338	瑟	所櫛	VWD	sryit	ʂit	ʂit	ʂɨit	ʂɪt꜊	生開三臻入	生	開	三	臻	入	強合法	
3339	𪗨	崱瑟	UWD	dzryit	dʐit	dʐit	dʐɨit	dʐɪt꜊	崇開三臻入	崇	開	三	臻	入	強合法	
3340	物	文弗	DXD	mut	mʋut	mut	mʉt	mɨut꜊	明三文入	明		三	文	入	強合法	
3341	弗	分勿	AXD	put	pʋut	put	pʉt	pɨut꜊	幫三文入	幫		三	文	入	強合法	
3342	鬱	紆物	hXL	qut	ʔɣut	ʔut	ʔʉt	ʔɨut꜊	影合三文入	影	合	三	文	入	強合法	
3343	𠀔	九勿	dXL	kut	kɣut	kut	kʉt	kɨut꜊	見合三文入	見	合	三	文	入	強合法	
3344	屈	區勿	eXL	khut	kʰɣut	kʰut	kʰʉt	kʰɨut꜊	溪合三文入	溪	合	三	文	入	強合法	
3345	倔	衢物	fXL	gut	ɡɣut	ɡut	ɡʉt	ɡɨut꜊	羣合三文入	羣	合	三	文	入	強合法	
3346	佛	符弗	CXD	but	bʋut	but	bʉt	bɨut꜊	並三文入	並		三	文	入	強合法	
3347	䬍	許勿	iXL	hut	xɣut	xut	xʉt	hɨut꜊	曉合三文入	曉	合	三	文	入	強合法	
3348	䬑	王勿	kXL	ut	wut	wut	ʉt	ɦɨut꜊	云合三文入	云	合	三	文	入	強合法	
3349	拂	敷勿	BXD	phut	pʰʋut	pʰut	pʰʉt	pʰɨut꜊	滂三文入	滂		三	文	入	強合法	
3350	崛	魚勿	gXL	ngut	ŋɣut	ŋut	ŋʉt	ŋɨut꜊	疑合三文入	疑	合	三	文	入	強合法	
3351	迄	許訖	iYD	hyt	xɨt	xɨt	xɨt	hɨt꜊	曉開三殷入	曉	開	三	殷	入	強合法	
3352	訖	居乞	dYD	kyt	kɨt	kɨt	kɨt	kɨt꜊	見開三殷入	見	開	三	殷	入	強合法	
3353	疙	魚迄	gYD	ngyt	ŋɨt	ŋɨt	ŋɨt	ŋɨt꜊	疑開三殷入	疑	開	三	殷	入	強合法	
3354	䞘	其迄	fYD	gyt	ɡɨt	ɡɨt	ɡɨt	ɡɨt꜊	羣開三殷入	羣	開	三	殷	入	強合法	
3355	乞	去訖	eYD	khyt	kʰɨt	kʰɨt	kʰɨt	kʰɨt꜊	溪開三殷入	溪	開	三	殷	入	強合法	
3356	月	魚厥	gZL	nguot	ŋɣwət	ŋwət	ŋʉət	ŋʷɨɤt꜊	疑合三元入	疑	合	三	元	入	強合法	
3357	伐	房越	CZD	buot	bʋət	bət	bʉət	bu̯ɨɤt꜊	並三元入	並		三	元	入	強合法	
3358	越	王伐	kZL	uot	wət	wət	ʉət	ɦʷɨɤt꜊	云合三元入	云	合	三	元	入	強合法	
3359	厥	居月	dZL	kuot	kɣwət	kwət	kʉət	kʷɨɤt꜊	見合三元入	見	合	三	元	入	強合法	
3360	𡡕	於月	hZL	quot	ʔɣwət	ʔwət	ʔʉət	ʔʷɨɤt꜊	影合三元入	影	合	三	元	入	強合法	
