小韻號,首字,音韻地位,反切,直音,細分轄字
610,鋋,常開三仙平,市連,,
611,纏,澄開三仙平,直連,,
612,嘕,曉開三B仙平,許延,,
613,連,來開三仙平,力延,,
614,篇,滂三A仙平,芳連,,
615,便,並三A仙平,房連,,
616,緜,明三A仙平,武延,,
617,全,從合三仙平,疾緣,,
618,宣,心合三仙平,須緣,,
619,鐫,精合三仙平,子泉,,
620,翾,曉合三A仙平,許緣,,
621,堧,日合三仙平,而緣,,
622,穿,昌合三仙平,昌緣,,
623,沿,以合三仙平,與專,,
624,旋,邪合三仙平,似宣,,
625,娟,影合三A仙平,於緣,,
626,船,船合三仙平,食川,,
627,鞭,幫三A仙平,卑連,,
628,㳄,邪開三仙平,夕連,,
629,詮,清合三仙平,此緣,,
630,專,章合三仙平,職緣,,
631,遄,常合三仙平,市緣,,
632,員,云合三B仙平,王權,,
633,恮,莊合三仙平,莊緣,,
634,栓,生合三仙平,山員,,
635,猭,徹合三仙平,丑緣,,
636,乾,羣開三B仙平,渠焉,,
637,愆,溪開三B仙平,去乾,,
638,權,羣合三B仙平,巨員,,
639,椽,澄合三仙平,直攣,,
640,攣,來合三仙平,呂員,,
641,弮,溪合三B仙平,丘圓,,
642,焉,影開三B仙平,於乾,,
643,漹,云開三B仙平,有乾,,
644,𡣬,影合三B仙平,於權,,
645,燀,昌開三仙平,尺延,,
646,𡰖,端開四齊平,丁全〈兮〉,,
647,勬,見合三B仙平,居員,,
648,蕭,心開四蕭平,蘇彫,,
649,祧,透開四蕭平,吐彫,,
650,貂,端開四蕭平,都聊,,
651,迢,定開四蕭平,徒聊,,
652,驍,見開四蕭平,古堯,,
653,聊,來開四蕭平,落蕭,,
654,堯,疑開四蕭平,五聊,,
655,膮,曉開四蕭平,許幺,,
656,幺,影開四蕭平,於堯,,
657,鄡,溪開四蕭平,苦幺,,
658,宵,心開三宵平,相邀,,
659,超,徹開三宵平,敕宵,,
660,朝,知開三宵平,陟遙,,
661,鼂,澄開三宵平,直遙,,
662,囂,曉開三B宵平,許嬌,,
663,樵,從開三宵平,昨焦,,
664,驕,見開三B宵平,舉喬,,
665,焦,精開三宵平,即消,,
666,饒,日開三宵平,如招,,
667,燒,書開三宵平,式招,,
668,遙,以開三宵平,餘昭,,
669,韶,常開三宵平,市昭,,
670,昭,章開三宵平,止遙,,
671,飆,幫三A宵平,甫遙,,
672,鑣,幫三B宵平,甫嬌,,
673,瓢,並三A宵平,符霄,,
674,蜱,明三A宵平,彌遙,,
675,苗,明三B宵平,武瀌,,
676,要,影開三A宵平,於霄,,
677,鴞,云開三B宵平,于嬌,,
678,喬,羣開三B宵平,巨嬌,,
679,鍫,清開三宵平,七遙,,
680,妖,影開三B宵平,於喬,,
681,蹻,溪開三A宵平,去遙,,
682,怊,昌開三宵平,尺招,,
683,𤐫,滂三A宵平,撫招,,
684,翹,羣開三A宵平,渠遙,,
685,燎,來開三宵平,力昭,,
686,趫,溪開三B宵平,起囂,,
687,肴,匣開二肴平,胡茅,,
688,交,見開二肴平,古肴,,
689,巢,崇開二肴平,鉏交,,
690,鐃,孃開二肴平,女交,,
691,梢,生開二肴平,所交,,
692,茅,明二肴平,莫交,,
693,虓,曉開二肴平,許交,,
694,包,幫二肴平,布交,,
695,胞,滂二肴平,匹交,,
696,敲,溪開二肴平,口交,,
697,聱,疑開二肴平,五交,,
698,𦗔,莊開二肴平,側交,,
699,嘲,知開二肴平,陟交,,
700,䜈,初開二肴平,楚交,,
701,庖,並二肴平,薄交,,
702,䫜,影開二肴平,於交,,
703,䫸,徹開二肴平,敕交,,
704,顟,來開二肴平,力嘲,,
705,䄻,澄開二肴平,直交,,
706,豪,匣開一豪平,胡刀,,
707,高,見開一豪平,古勞,,
708,勞,來開一豪平,魯刀,,
709,蒿,曉開一豪平,呼毛,,
710,毛,明一豪平,莫袍,,
711,饕,透開一豪平,土刀,,
712,刀,端開一豪平,都牢,,
713,騷,心開一豪平,蘇遭,,
714,袍,並一豪平,薄襃,,
715,襃,幫一豪平,博毛,,
716,陶,定開一豪平,徒刀,,
717,糟,精開一豪平,作曹,,
718,敖,疑開一豪平,五勞,,
719,曹,從開一豪平,昨勞,,
720,𤏶,影開一豪平,於刀,,
721,猱,泥開一豪平,奴刀,,
722,尻,溪開一豪平,苦刀,,
723,操,清開一豪平,七刀,,
724,㯱,滂一豪平,普袍,,
725,歌,見開一歌平,古俄,,
726,蹉,清開一歌平,七何,,
727,多,端開一歌平,得何,,
728,娑,心開一歌平,素何,,
729,駝,定開一歌平,徒河,,
730,醝,從開一歌平,昨何,,
731,莪,疑開一歌平,五何,,
732,佗,透開一歌平,託何,,
733,羅,來開一歌平,魯何,,
734,那,泥開一歌平,諾何,,
735,何,匣開一歌平,胡歌,,
736,訶,曉開一歌平,虎何,,
737,珂,溪開一歌平,苦何,,
738,阿,影開一歌平,烏何,,
739,戈,見合一歌平,古禾,,
740,遳,清合一歌平,七戈,,
741,𨹄,端合一歌平,丁戈,,
742,莎,心合一歌平,蘇禾,,
743,婆,並一歌平,薄波,,
744,㸰,定合一歌平,徒和,,
745,摩,明一歌平,莫婆,,
746,矬,從合一歌平,昨禾,,
747,訛,疑合一歌平,五禾,,
748,詑,透合一歌平,土禾,,
749,𩼊,來合一歌平,落戈,,
750,捼,泥合一歌平,奴禾,,
751,波,幫一歌平,博禾,,
752,頗,滂一歌平,滂禾,,
753,和,匣合一歌平,戶戈,,
754,科,溪合一歌平,苦禾,,
