小韻號	首字	反切	音韻地位	細分轄字
447	勻	羊倫	以合三真平	
448	旬	詳遵	邪合三真平	
449	均	居勻	見合三A真平	
450	𧼒	渠人	羣開三A真平	
451	砏	普巾	滂三B真平	
452	臻	側詵	莊開三臻平	
453	莘	所臻	生開三臻平	
454	𦿒	士臻	崇開三臻平	
455	文	無分	明三C文平	
456	雲	王分	云合三C文平	
457	熅	於云	影合三C文平	
458	汾	符分	並三C文平	
459	分	府文	幫三C文平	
460	羣	渠云	羣合三C文平	
461	薰	許云	曉合三C文平	
462	君	舉云	見合三C文平	
463	芬	府（撫）文	滂三C文平	
464	欣	許斤	曉開三C殷平	
465	殷	於斤	影開三C殷平	
466	勤	巨斤	羣開三C殷平	
467	斤	舉欣	見開三C殷平	
468	䖐	語斤	疑開三C殷平	
469	元	愚袁	疑合三C元平	
470	袁	雨元	云合三C元平	
471	煩	附袁	並三C元平	
472	飜	孚袁	滂三C元平	
473	暄	況袁	曉合三C元平	
474	鴛	於袁	影合三C元平	
475	言	語軒	疑開三C元平	
476	攑	丘言	溪開三C元平	
477	軒	虛言	曉開三C元平	
478	𢳚	居言	見開三C元平	
479	蔫	謁言	影開三C元平	
480	蕃	甫煩	幫三C元平	
481	𥴤	巨言	羣開三C元平	
482	樠	武元	明三C元平	
483	䰟	戶昆	匣合一魂平	
484	昆	古渾	見合一魂平	
485	𥁕	烏渾	影合一魂平	
486	門	莫奔	明一魂平	
487	孫	思渾	心合一魂平	
488	尊	祖昆	精合一魂平	
489	存	徂尊	從合一魂平	
490	敦	都昆	端合一魂平	
491	暾	他昆	透合一魂平	
492	屯	徒渾	定合一魂平	
493	村	此尊	清合一魂平	
494	㑮	牛昆	疑合一魂平	
495	盆	蒲奔	並一魂平	
496	奔	博昆	幫一魂平	
497	論	盧昆	來合一魂平	
498	坤	苦昆	溪合一魂平	
499	昏	呼昆	曉合一魂平	
500	濆	普魂	滂一魂平	
501	黁	奴昆	泥合一魂平	
502	痕	戶恩	匣開一痕平	
503	根	古痕	見開一痕平	
504	恩	烏痕	影開一痕平	
505	吞	吐根	透開一痕平	
506	垠	五根	疑開一痕平	
507	寒	胡安	匣開一寒平	
508	豻	俄寒	疑開一寒平	
509	單	都寒	端開一寒平	
510	安	烏寒	影開一寒平	
511	難	那干	泥開一寒平	
512	餐	七安	清開一寒平	
513	灘	他干	透開一寒平	
514	𦙱	蘇干	心開一寒平	
515	壇	徒干	定開一寒平	
516	殘	昨干	從開一寒平	
517	干	古寒	見開一寒平	
518	蘭	落干	來開一寒平	
519	看	苦寒	溪開一寒平	
520	頇	許干	曉開一寒平	
521	濡	乃官	泥合一寒平	
522	桓	胡官	匣合一寒平	
523	岏	五丸	疑合一寒平	
524	端	多官	端合一寒平	
525	剜	一丸	影合一寒平	
526	湍	他端	透合一寒平	
527	酸	素官	心合一寒平	
528	團	度官	定合一寒平	
529	欑	在丸	從合一寒平	
530	官	古丸	見合一寒平	
531	鑾	落官	來合一寒平	
